date,store_nbr,transactions
1/1/2013,25,770
1/2/2013,1,2111
1/2/2013,2,2358
1/2/2013,3,3487
1/2/2013,4,1922
1/2/2013,5,1903
1/2/2013,6,2143
1/2/2013,7,1874
1/2/2013,8,3250
1/2/2013,9,2940
1/2/2013,10,1293
1/2/2013,11,3547
1/2/2013,12,1362
1/2/2013,13,1102
1/2/2013,14,2002
1/2/2013,15,1622
1/2/2013,16,1167
1/2/2013,17,1580
1/2/2013,18,1635
1/2/2013,19,1369
1/2/2013,23,1381
1/2/2013,24,2605
1/2/2013,25,1038
1/2/2013,26,1008
1/2/2013,27,1386
1/2/2013,28,950
1/2/2013,30,708
1/2/2013,31,1401
1/2/2013,32,776
1/2/2013,33,1163
1/2/2013,34,2724
1/2/2013,35,786
1/2/2013,37,1691
1/2/2013,38,1987
1/2/2013,39,1587
1/2/2013,40,1178
1/2/2013,41,915
1/2/2013,43,1385
1/2/2013,44,4821
1/2/2013,45,4208
1/2/2013,46,4886
1/2/2013,47,4161
1/2/2013,48,3397
1/2/2013,49,2346
1/2/2013,50,3077
1/2/2013,51,1985
1/2/2013,54,998
1/3/2013,1,1833
1/3/2013,2,2033
1/3/2013,3,3026
1/3/2013,4,1551
1/3/2013,5,1740
1/3/2013,6,1795
1/3/2013,7,1568
1/3/2013,8,2904
1/3/2013,9,2396
1/3/2013,10,1157
1/3/2013,11,2675
1/3/2013,12,1248
1/3/2013,13,916
1/3/2013,14,1823
1/3/2013,15,1512
1/3/2013,16,1101
1/3/2013,17,1339
1/3/2013,18,1484
1/3/2013,19,1098
1/3/2013,23,1181
1/3/2013,24,2462
1/3/2013,25,887
1/3/2013,26,813
1/3/2013,27,928
1/3/2013,28,749
1/3/2013,30,689
1/3/2013,31,1126
1/3/2013,32,727
1/3/2013,33,1168
1/3/2013,34,2348
1/3/2013,35,725
1/3/2013,37,1526
1/3/2013,38,1746
1/3/2013,39,1426
1/3/2013,40,1171
1/3/2013,41,809
1/3/2013,43,1334
1/3/2013,44,3618
1/3/2013,45,3314
1/3/2013,46,3438
1/3/2013,47,3660
1/3/2013,48,2887
1/3/2013,49,1702
1/3/2013,50,2307
1/3/2013,51,1644
1/3/2013,54,920
1/4/2013,1,1863
1/4/2013,2,2066
1/4/2013,3,3188
1/4/2013,4,1596
1/4/2013,5,1642
1/4/2013,6,1679
1/4/2013,7,1513
1/4/2013,8,2962
1/4/2013,9,1975
1/4/2013,10,970
1/4/2013,11,2515
1/4/2013,12,1064
1/4/2013,13,879
1/4/2013,14,1641
1/4/2013,15,1318
1/4/2013,16,977
1/4/2013,17,1139
1/4/2013,18,1238
1/4/2013,19,1003
1/4/2013,23,1257
1/4/2013,24,2607
1/4/2013,25,1054
1/4/2013,26,813
1/4/2013,27,1034
1/4/2013,28,651
1/4/2013,30,689
1/4/2013,31,1246
1/4/2013,32,680
1/4/2013,33,948
1/4/2013,34,2369
1/4/2013,35,630
1/4/2013,37,1701
1/4/2013,38,1723
1/4/2013,39,1285
1/4/2013,40,1044
1/4/2013,41,835
1/4/2013,43,1358
1/4/2013,44,4169
1/4/2013,45,3630
1/4/2013,46,3434
1/4/2013,47,3915
1/4/2013,48,2900
1/4/2013,49,2016
1/4/2013,50,2698
1/4/2013,51,1786
1/4/2013,54,794
1/5/2013,1,1509
1/5/2013,2,2062
1/5/2013,3,3623
1/5/2013,4,1825
1/5/2013,5,1643
1/5/2013,6,2154
1/5/2013,7,1599
1/5/2013,8,3060
1/5/2013,9,2604
1/5/2013,10,1269
1/5/2013,11,3052
1/5/2013,12,1293
1/5/2013,13,1336
1/5/2013,14,2052
1/5/2013,15,1543
1/5/2013,16,1109
1/5/2013,17,1433
1/5/2013,18,1323
1/5/2013,19,1713
1/5/2013,23,1250
1/5/2013,24,2578
1/5/2013,25,1355
1/5/2013,26,1081
1/5/2013,27,1327
1/5/2013,28,1033
1/5/2013,30,749
1/5/2013,31,1317
1/5/2013,32,890
1/5/2013,33,1217
1/5/2013,34,2599
1/5/2013,35,723
1/5/2013,37,1770
1/5/2013,38,2214
1/5/2013,39,1851
1/5/2013,40,1118
1/5/2013,41,1021
1/5/2013,43,1205
1/5/2013,44,4921
1/5/2013,45,4331
1/5/2013,46,4935
1/5/2013,47,4764
1/5/2013,48,4084
1/5/2013,49,2562
1/5/2013,50,3459
1/5/2013,51,2068
1/5/2013,54,949
1/6/2013,1,520
1/6/2013,2,1992
1/6/2013,3,3590
1/6/2013,4,1891
1/6/2013,5,1754
1/6/2013,6,2313
1/6/2013,7,1431
1/6/2013,8,2748
1/6/2013,9,2635
1/6/2013,10,1173
1/6/2013,11,3188
1/6/2013,12,1271
1/6/2013,13,1008
1/6/2013,14,1313
1/6/2013,15,1149
1/6/2013,16,1323
1/6/2013,17,1383
1/6/2013,18,1405
1/6/2013,19,1157
1/6/2013,23,1100
1/6/2013,24,2061
1/6/2013,25,716
1/6/2013,26,1075
1/6/2013,27,1614
1/6/2013,28,1207
1/6/2013,30,667
1/6/2013,31,1468
1/6/2013,32,772
1/6/2013,33,1302
1/6/2013,34,2377
1/6/2013,35,651
1/6/2013,37,1282
1/6/2013,38,2522
1/6/2013,39,1571
1/6/2013,40,1023
1/6/2013,41,1142
1/6/2013,43,1194
1/6/2013,44,4925
1/6/2013,45,4418
1/6/2013,46,5401
1/6/2013,47,4935
1/6/2013,48,4591
1/6/2013,49,2795
1/6/2013,50,3297
1/6/2013,51,1934
1/6/2013,54,1180
1/7/2013,1,1807
1/7/2013,2,1911
1/7/2013,3,2996
1/7/2013,4,1514
1/7/2013,5,1577
1/7/2013,6,1713
1/7/2013,7,1705
1/7/2013,8,2768
1/7/2013,9,2162
1/7/2013,10,1148
1/7/2013,11,2361
1/7/2013,12,1113
1/7/2013,13,921
1/7/2013,14,1671
1/7/2013,15,1413
1/7/2013,16,1066
1/7/2013,17,1292
1/7/2013,18,1369
1/7/2013,19,1137
1/7/2013,23,1185
1/7/2013,24,2320
1/7/2013,25,703
1/7/2013,26,792
1/7/2013,27,1093
1/7/2013,28,775
1/7/2013,30,663
1/7/2013,31,1170
1/7/2013,32,699
1/7/2013,33,1078
1/7/2013,34,2224
1/7/2013,35,568
1/7/2013,37,1450
1/7/2013,38,1549
1/7/2013,39,1356
1/7/2013,40,1148
1/7/2013,41,744
1/7/2013,43,1137
1/7/2013,44,3871
1/7/2013,45,3339
1/7/2013,46,3205
1/7/2013,47,3570
1/7/2013,48,2697
1/7/2013,49,1719
